"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"hw9","сотрудник компании","negative.редактировать сотрудника/сотрудников","0","0","2","2","0"
"hw7","корзина","итоговая сумма заказа","0","0","1","0","0"
"hw9","сотрудник компании","negative.создание сотрудника/сотрудников","0","0","2","0","0"
"hw7","форма","цвет фона полей","0","0","1","0","0"
"hw7","калькулятор","сумма целых чисел","0","0","2","0","0"
"hw9","сотрудник компании","получить сотрудника/список сотрудников","0","0","2","0","0"
"hw9","сотрудник компании","редактировать сотрудника/сотрудников","0","0","1","0","0"
"hw9","сотрудник компании","создание сотрудника/сотрудников","0","0","1","0","0"
"hw9","сотрудник компании","negative.получить сотрудника/список сотрудников","0","0","1","0","0"
